,name,company,year,Price,kms_driven,fuel_type
334,Tata Manza Aura Quadrajet,Tata,2012,130000,"72,000 kms",Diesel
335,Chevrolet Sail UVA Petrol LT ABS,Chevrolet,2013,210000,"60,000 kms",Petrol
336,Renault Duster 110 PS RxZ Diesel Plus,Renault,2012,501000,"38,000 kms",Diesel
337,Hyundai Verna Fluidic 1.6 VTVT SX,Hyundai,2013,401000,"45,000 kms",Diesel
338,Audi A4 2.0 TDI 177bhp Premium,Audi,2012,1350000,"40,000 kms",Diesel
339,Hyundai Elantra SX,Hyundai,2013,600000,"20,000 kms",Petrol
340,Mahindra Scorpio VLX 4WD Airbag,Mahindra,2013,610000,"35,000 kms",Diesel
341,Mahindra KUV100 K8 D 6 STR,Mahindra,2016,400000,"20,000 kms",Diesel
342,Renault Scala RxL Diesel Travelogue,Renault,2015,375000,"25,000 kms",Diesel
343,Mahindra Quanto C8,Mahindra,2013,375000,"20,000 kms",Diesel
344,Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,365000,"20,000 kms",Petrol
345,Hyundai i20 Active 1.2 SX,Hyundai,2015,500000,"18,000 kms",Petrol
346,Mahindra Xylo E4,Mahindra,2012,400000,"35,000 kms",Diesel
347,Hyundai Grand i10,Hyundai,2017,524999,"6,821 kms",Petrol
348,Hyundai i20,Hyundai,2014,449999,"23,000 kms",Petrol
349,Hyundai Eon,Hyundai,2014,174999,"14,000 kms",Petrol
350,Hyundai i10,Hyundai,2012,244999,"38,000 kms",Petrol
351,Hyundai i20 Active,Hyundai,2015,574999,"35,000 kms",Diesel
352,Datsun Redi GO,Datsun,2017,244999,"22,000 kms",Petrol
353,Toyota Etios Liva,Toyota,2011,239999,"41,000 kms",Petrol
354,Hyundai Accent,Hyundai,2010,99999,"45,000 kms",Petrol
355,Hyundai Verna,Hyundai,2014,489999,"44,000 kms",Diesel
356,Maruti Suzuki Swift,Maruti,2013,324999,"45,000 kms",Diesel
357,Toyota Fortuner,Toyota,2011,1074999,"52,000 kms",Diesel
358,Hyundai i10 Sportz,Hyundai,2012,230000,"34,000 kms",Petrol
359,Mahindra Bolero Power Plus SLE,Mahindra,2018,699000,"1,800 kms",Diesel
361,Mahindra XUV500,Mahindra,2015,1000000,"15,000 kms",Diesel
362,Honda City 1.5 V MT Exclusive,Honda,2010,240000,"4,00,000 kms",Petrol
363,Chevrolet Spark LT 1.0 Airbag,Chevrolet,2009,110000,"44,000 kms",Petrol
364,Mahindra Jeep MM 550 XDB,Mahindra,2019,390000,60 kms,Diesel
365,Renault Duster 110PS Diesel RxZ,Renault,2012,501000,"35,000 kms",Diesel
366,Mahindra XUV500,Mahindra,2016,1130000,"72,000 kms",Diesel
367,Tata Indigo eCS VX CR4 BS IV,Tata,2014,250000,"40,000 kms",Diesel
369,Mahindra Bolero SLE BS IV,Mahindra,2013,330000,"80,200 kms",Diesel
370,Force Motors Force One LX ABS 7 STR,Force,2015,580000,"3,200 kms",Diesel
371,Skoda Rapid Elegance 1.6 TDI CR MT,Skoda,2013,340000,"48,000 kms",Diesel
372,Tata Vista Quadrajet VX,Tata,2011,120000,"90,000 kms",Diesel
373,Maruti Suzuki Alto K10 VXi AT,Maruti,2015,265000,"12,000 kms",Petrol
374,Maruti Suzuki SX4,Maruti,2012,265000,"46,000 kms",Diesel
375,Maruti Suzuki Zen LXi BS III,Maruti,2003,85000,"69,900 kms",Petrol
376,Mahindra Jeep CL550 MDI,Mahindra,2019,379000,"0,000 kms",Diesel
377,Hyundai i10 Magna 1.2,Hyundai,2011,175000,"45,000 kms",Petrol
378,Maruti Suzuki Alto 800,Maruti,2015,219000,"5,000 kms",Petrol
379,Maruti Suzuki Swift Dzire Tour LDi,Maruti,2016,350000,"1,66,000 kms",Diesel
380,Honda City ZX EXi,Honda,2008,149000,"42,000 kms",Petrol
381,Mahindra Jeep CL550 MDI,Mahindra,2018,385000,588 kms,Diesel
382,Mahindra Jeep MM 550 XDB,Mahindra,2006,425000,122 kms,Diesel
383,Chevrolet Beat Diesel,Chevrolet,2017,150000,"62,000 kms",Diesel
384,Honda City 1.5 S MT,Honda,2010,225000,"70,000 kms",Petrol
385,Maruti Suzuki Swift Dzire car,Maruti,sale,300000,,
386,Hyundai Verna 1.4 VTVT,Hyundai,2014,375000,"36,000 kms",Petrol
387,Toyota Innova 2.5 E MS 7 STR BS IV,Toyota,2012,770000,0 kms,Diesel
389,Maruti Suzuki Maruti 800 Std – Befo,Maruti,1995,30000,"55,000 kms",Petrol
390,Toyota Etios,Toyota,2011,275000,"36,000 kms",Diesel
391,Volkswagen Polo,Volkswagen,2015,330000,"38,000 kms",Diesel
392,Maruti Suzuki Swift,Maruti,2014,335000,"55,000 kms",Diesel
393,Hyundai Elite i20 Asta 1.4 CRDI,Hyundai,2015,450000,"20,000 kms",Diesel
394,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2012,225000,"40,000 kms",Petrol
395,Maruti Suzuki Swift Dzire Tour (Gat,Maruti,ara),300000,,
396,Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,80000,"50,000 kms",Petrol
397,Tata Indigo LX TDI BS III,Tata,2016,130000,"1,04,000 kms",Diesel
398,Volkswagen Vento Konekt Diesel Highline,Volkswagen,2011,245000,"65,000 kms",Diesel
399,Mercedes Benz C Class 200 CDI Classic,Mercedes,2002,399000,"41,000 kms",Petrol
400,Maruti Suzuki Ertiga VDi,Maruti,2013,450000,"90,000 kms",Diesel
401,URJE,URJENT,SELL,180000,,
402,Honda City,Honda,2000,65000,"80,000 kms",Petrol
403,Hyundai Santro Xing GLS,Hyundai,2006,75000,"46,000 kms",Petrol
404,Maruti Suzuki Omni Limited Edition,Maruti,2001,70000,"70,000 kms",Petrol
405,Hyundai Sonata Transform 2.4 GDi MT,Hyundai,2017,190000,"36,469 kms",Diesel
406,Hyundai Elite i20 Sportz 1.2,Hyundai,2018,600000,"7,800 kms",Petrol
407,Volkswagen Vento Konekt Diesel Highline,Volkswagen,2011,245000,"65,000 kms",Diesel
408,Maruti Suzuki Alto 800 Lxi,Maruti,2017,240000,"60,000 kms",Petrol
409,Maruti Suzuki Alto LXi BS III,Maruti,2011,155000,"32,000 kms",Petrol
410,Honda Jazz S MT,Honda,2009,169999,"24,695 kms",Petrol
411,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2017,450000,"15,141 kms",Petrol
412,Maruti Suzuki Zen LXi BSII,Maruti,2001,40000,"40,000 kms",Petrol
413,Mahindra Scorpio W Turbo 2.6DX 9 Seater,Mahindra,2012,165000,"65,000 kms",Diesel
414,Swift Dzire Tour 27 Dec 2016 Regis,Swift,tion,370000,,
415,Maruti Suzuki Alto K10 VXi,Maruti,2014,270000,"22,000 kms",Petrol
416,Hyundai Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2016,280000,"59,910 kms",Diesel
417,Mahindra XUV500 W8,Mahindra,2012,560000,"1,00,000 kms",Diesel
418,Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2016,950000,"25,000 kms",Petrol
419,Hyundai i20 Magna O 1.2,Hyundai,2013,310000,"35,000 kms",Petrol
420,Renault Duster 85 PS RxL Explore LE,Renault,2015,715000,"65,000 kms",Diesel
421,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2014,340000,"35,000 kms",Petrol
422,Honda Brio V MT,Honda,2012,235000,"33,000 kms",Petrol
423,Mahindra TUV300 T4 Plus,Mahindra,2017,610000,"68,000 kms",Diesel
424,Chevrolet Spark LS 1.0,Chevrolet,2010,95000,"23,000 kms",Petrol
425,Mahindra TUV300 T8,Mahindra,2018,1000000,"4,500 kms",Diesel
426,Maruti Suzuki Swift Dzire Tour LDi,Maruti,2015,220000,"1,29,000 kms",Diesel
427,Nissan X Trail Select Variant,Nissan,2019,1200000,300 kms,Diesel
428,Maruti Suzuki Alto 800 Vxi,Maruti,2015,230000,"5,000 kms",Petrol
429,Ford Ikon 1.3 CLXi NXt Finesse,Ford,2001,45000,"65,000 kms",Petrol
430,Toyota Fortuner 3.0 4x4 MT,Toyota,2010,940000,"1,31,000 kms",Diesel
431,Tata Manza ELAN Quadrajet,Tata,2010,155555,"1,11,111 kms",Petrol
432,Tata zest x,Tata,odel,320000,,
433,Mahindra xyl,Mahindra,2 bs,350000,,
434,Mercedes Benz A Class A 180 Sport Petrol,Mercedes,2013,1500000,"14,000 kms",Petrol
435,Chevrolet Beat LS Diesel,Chevrolet,2016,210000,"22,000 kms",Diesel
436,Ford EcoSport Trend 1.5L TDCi,Ford,2013,495000,"38,000 kms",Diesel
437,Tata Indigo LS,Tata,2016,125000,"70,000 kms",Diesel
438,Hyundai i20 Magna 1.2,Hyundai,2010,195000,"36,000 kms",Petrol
439,Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,2015,550000,"34,000 kms",Diesel
440,Renault Kwid RXT,Renault,2015,270000,"43,000 kms",Petrol
441,Used Commercial Maruti Omn,Used,arry,150000,,
442,Ford EcoSport Titanium 1.5L TDCi,Ford,2014,500000,"40,000 kms",Diesel
443,Honda Amaze 1.5 E i DTEC,Honda,2016,240000,"1,60,000 kms",Diesel
444,Hyundai Verna 1.6 EX VTVT,Hyundai,2017,800000,"12,000 kms",Petrol
445,BMW 5 Series 520d Sedan,BMW,2011,1299000,"49,000 kms",Diesel
446,Skoda Superb 1.8 TFSI AT,Skoda,2011,530000,"68,000 kms",Petrol
447,Audi Q3 2.0 TDI quattro Premium,Audi,2013,1499000,"37,000 kms",Diesel
448,Mahindra Bolero DI BSII,Mahindra,2012,220000,"59,466 kms",Diesel
450,Mahindra Scorpio S10,Mahindra,2015,900000,"97,200 kms",Diesel
451,Ford Figo Duratorq Diesel Titanium 1.4,Ford,2012,250000,"99,000 kms",Diesel
452,Maruti Suzuki Wagon R VXI BS IV,Maruti,2018,395000,"25,500 kms",Petrol
453,Mahindra Logan Diesel 1.5 DLS,Mahindra,2009,130000,"66,000 kms",Petrol
454,Tata Nano GenX XMA,Tata,2010,32000,"44,005 kms",Petrol
455,Mahindra TUV300 T4 Plus,Mahindra,2016,540000,"35,000 kms",Diesel
456,Mahindra TUV300 T4 Plus,Mahindra,2016,540000,"35,000 kms",Diesel
457,Hyundai Elite i20 Magna 1.2,Hyundai,2015,405000,"28,000 kms",Petrol
458,Hyundai Elite i20 Magna 1.2,Hyundai,2015,400000,"30,000 kms",Petrol
459,Honda City SV,Honda,2017,760000,"4,000 kms",Petrol
460,Maruti Suzuki Baleno Delta 1.2,Maruti,2016,500000,"28,000 kms",Petrol
461,Ford Figo Petrol LXI,Ford,2011,175000,"75,000 kms",Petrol
462,Mahindra Scorpio S10,Mahindra,2015,900000,"97,200 kms",Diesel
463,Honda City,Honda,2017,750000,"3,000 kms",Petrol
464,Hyundai Elite i20 Magna 1.2,Hyundai,2015,419000,"20,000 kms",Petrol
465,Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,90000,"50,000 kms",Petrol
466,Hyundai Eon Era Plus,Hyundai,2018,140000,"2,110 kms",Petrol
467,Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,1540000,"43,222 kms",Petrol
468,Hyundai i10 Magna 1.2 Kappa2,Hyundai,2008,275000,"1,00,200 kms",Petrol
469,Toyota Corolla H2,Toyota,2003,150000,"1,00,000 kms",Petrol
470,Maruti Suzuki Swift Dzire Tour VXi,Maruti,2011,230000,65 kms,Petrol
471,Tata Indigo CS eLS BS IV,Tata,2015,123000,"1,00,000 kms",Diesel
472,Mahindra Scorpio S10,Mahindra,2015,900000,"97,200 kms",Diesel
473,Mahindra Scorpio S10,Mahindra,2015,900000,"97,200 kms",Diesel
474,Hyundai Xcent Base 1.1 CRDi,Hyundai,2016,300000,"1,40,000 kms",Diesel
475,Honda City,Honda,2015,499999,"55,000 kms",Petrol
476,Hyundai Accent Executive Edition,Hyundai,2009,165000,"48,000 kms",Petrol
477,Maruti Suzuki Baleno Delta 1.2,Maruti,2016,498000,"22,000 kms",Petrol
478,Tata Zest XE 75 PS Diesel,Tata,2018,480000,"1,03,553 kms",Diesel
479,Maruti Suzuki Dzire LDI,Maruti,2017,488000,"80,000 kms",Diesel
480,Tata Sumo Gold LX BS IV,Tata,2014,250000,"99,000 kms",Diesel
481,Toyota Corolla Altis GL Petrol,Toyota,2010,220000,"58,000 kms",Petrol
482,Maruti Suzuki Eeco 7 STR,Maruti,2013,290000,"70,000 kms",LPG
483,Toyota Fortuner 3.0 4x2 MT,Toyota,2015,1525000,"1,20,000 kms",Diesel
484,Mahindra XUV500 W6,Mahindra,2013,548900,"49,800 kms",Diesel
485,Tata Tigor Revotron XZ,Tata,2019,650000,100 kms,Diesel
486,Maruti Suzuki 800,Maruti,2001,55000,"81,876 kms",Petrol
487,Maruti Suzuki Ertiga Vxi,Maruti,2015,550000,"75,000 kms",Petrol
488,Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,90000,"50,000 kms",Petrol
489,Honda Mobilio S i DTEC,Honda,2014,399000,"44,000 kms",Diesel
490,Maruti Suzuki Ertiga,Maruti,2016,730000,"55,000 kms",Diesel
491,Maruti Suzuki Vitara Brezza,Maruti,2017,725000,"36,000 kms",Diesel
492,Hyundai Verna 1.6 CRDI E,Hyundai,2016,195000,"56,000 kms",Diesel
493,Maruti Suzuki Swift VXI BSIII,Maruti,2007,130000,"62,000 kms",Petrol
494,Toyota Fortuner 3.0 4x2 MT,Toyota,2015,1525000,"1,20,000 kms",Diesel
495,Maruti Suzuki Omni Select Variant,Maruti,2014,190000,"6,020 kms",Petrol
496,Honda Amaze,Honda,2013,250000,"55,700 kms",Diesel
497,Tata Indica,Tata,2005,80000,"42,000 kms",Petrol
498,Hyundai Santro Xing,Hyundai,2003,120000,"50,000 kms",Petrol
499,Maruti Suzuki Zen Estilo,Maruti,2010,149000,"35,000 kms",Petrol
500,Maruti Suzuki Wagon R LXI BS IV,Maruti,2014,250000,"18,500 kms",Petrol
501,Maruti Suzuki Wagon R,Maruti,2007,120000,"7,000 kms",Petrol
502,Honda Brio VX AT,Honda,2017,450000,"11,000 kms",Petrol
504,Maruti Suzuki Zen LXi BSII,Maruti,2003,99999,"53,000 kms",Petrol
505,Maruti Suzuki Zen Estilo LXI Green CNG,Maruti,2008,135000,"23,000 kms",Petrol
506,Maruti Suzuki Wagon R Select Variant,Maruti,2016,225000,"35,500 kms",Diesel
507,Maruti Suzuki Alto LXi BS III,Maruti,2010,99000,"22,134 kms",Petrol
508,Renault Kwid RXT,Renault,2019,370000,"1,000 kms",Petrol
509,Tata Nano Lx BSIV,Tata,2010,52000,"9,000 kms",Petrol
510,Jaguar XE XE Portfolio,Jaguar,2016,2800000,"8,500 kms",Petrol
512,Hyundai Eon Magna Plus,Hyundai,2014,190000,"35,000 kms",Petrol
513,Honda City 1.5 S MT,Honda,2014,499000,"22,000 kms",Petrol
514,Hindustan Motors Ambassador,Hindustan,2002,90000,"25,000 kms",Diesel
515,Maruti Suzuki Ritz GENUS VXI,Maruti,2010,149000,"40,000 kms",Petrol
516,Hyundai Grand i10 Magna AT 1.2 Kappa VTVT,Hyundai,2017,400000,"20,000 kms",Petrol
517,Hyundai Eon D Lite Plus,Hyundai,2016,120000,"87,000 kms",Petrol
518,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2015,250000,"55,000 kms",Petrol
519,Maruti Suzuki Wagon R VXI BS IV,Maruti,2017,375000,"23,000 kms",Petrol
520,Honda Amaze 1.2 VX i VTEC,Honda,2014,381000,"6,000 kms",Petrol
521,Maruti Suzuki Estilo VXi ABS BS IV,Maruti,2013,180000,"65,000 kms",Petrol
522,Maruti Suzuki Vitara Brezza LDi O,Maruti,2016,580000,"25,000 kms",Diesel
523,Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,278000,"39,000 kms",Petrol
525,Hyundai Creta 1.6 SX Plus Petrol AT,Hyundai,2016,1000000,"8,000 kms",Petrol
526,Mahindra Scorpio Vlx BSIV,Mahindra,2013,690000,"75,000 kms",Diesel
527,Maruti Suzuki Ertiga VDi,Maruti,2012,480000,"51,000 kms",Diesel
528,Mitsubishi Lancer 1.8 LXi,Mitsubishi,2006,85000,"50,000 kms",Petrol
529,Maruti Suzuki Maruti 800 AC,Maruti,2001,40000,"75,000 kms",Petrol
530,Maruti Suzuki Alto 800 LXI CNG O,Maruti,2015,90000,"55,800 kms",Petrol
531,Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2015,340000,"53,000 kms",Petrol
532,Hyundai Eon D Lite Plus,Hyundai,2018,260000,"25,000 kms",Petrol
533,Ford Fiesta SXi 1.6 ABS,Ford,2009,250000,"56,400 kms",Petrol
534,Maruti Suzuki Ritz VDi,Maruti,2010,180000,"72,160 kms",Diesel
535,Hyundai Verna Fluidic New,Hyundai,2012,350000,"10,000 kms",Diesel
536,Maruti Suzuki Wagon R LXi BS III,Maruti,2006,90001,"48,000 kms",Petrol
537,Maruti Suzuki Estilo LX BS IV,Maruti,2007,115000,"36,000 kms",Petrol
538,Audi A6 2.0 TDI Premium,Audi,2012,1599000,"11,500 kms",Diesel
539,Maruti Suzuki Wagon R LXi BS III,Maruti,2003,130000,"1,33,000 kms",Petrol
540,Maruti Suzuki Wagon R,Maruti,2009,159000,"27,000 kms",Petrol
541,Maruti Suzuki Wagon R,Maruti,2009,160000,"35,000 kms",Petrol
542,Maruti Suzuki Alto,Maruti,2010,110000,"55,000 kms",Petrol
543,Maruti Suzuki Baleno Sigma 1.2,Maruti,2016,425000,"40,000 kms",Petrol
544,Hyundai Verna 1.6 SX VTVT AT,Hyundai,2019,900000,"2,000 kms",Petrol
545,Maruti Suzuki Swift GLAM,Maruti,2009,150000,"45,000 kms",Petrol
546,Hyundai Getz Prime 1.3 GVS,Hyundai,2009,110000,"20,000 kms",Petrol
547,Hyundai Santro,Hyundai,2000,51999,"88,000 kms",Petrol
548,Hyundai Getz Prime 1.3 GLX,Hyundai,2009,115000,"20,000 kms",Petrol
549,Chevrolet Beat PS Diesel,Chevrolet,2012,215000,"65,422 kms",Diesel
550,Ford EcoSport Trend 1.5 Ti VCT,Ford,2017,580000,"10,000 kms",Petrol
551,Maruti Suzuki Dzire ZXI,Maruti,2013,380000,"35,000 kms",Petrol
552,Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2013,350000,"1,17,000 kms",Diesel
553,Tata Indica V2 DLG,Tata,2005,35000,"1,50,000 kms",Diesel
554,BMW X1 xDrive20d xLine,BMW,2011,1150000,"72,000 kms",Diesel
555,Hyundai i20 Asta 1.2,Hyundai,2010,300000,"10,750 kms",Petrol
556,Honda City 1.5 V AT,Honda,2009,269000,"55,000 kms",Petrol
557,Tata Nano,Tata,2013,60000,"6,800 kms",Petrol
558,Chevrolet Cruze LTZ AT,Chevrolet,2014,400000,"41,000 kms",Diesel
559,Hyundai Verna Fluidic New,Hyundai,2015,430000,"73,000 kms",Diesel
561,Maruti Suzuki Swift Dzire VDi,Maruti,2011,140000,"65,000 kms",Diesel
563,Mahindra XUV500 W10,Mahindra,2018,1299000,"40,000 kms",Diesel
564,Maruti Suzuki Alto K10 LXi CNG,Maruti,2014,199000,"37,000 kms",Petrol
565,Hyundai Accent GLE,Hyundai,2006,90000,"55,000 kms",Petrol
566,Force Motors One SUV,Force,2013,550000,"1,40,000 kms",Diesel
568,Maruti Suzuki Alto,Maruti,2019,265000,"9,800 kms",Petrol
569,Chevrolet Spark 1.0 LT,Chevrolet,2011,100000,"27,000 kms",Petrol
570,Hyundai i10,Hyundai,2009,215000,"27,000 kms",Petrol
571,Toyota Etios Liva GD,Toyota,2012,380000,"20,000 kms",Diesel
572,Renault Duster 85PS Diesel RxL Optional with Nav,Renault,2013,401919,"57,923 kms",Diesel
573,Chevrolet Enjoy,Chevrolet,2014,490000,"30,201 kms",Diesel
574,Maruti Suzuki Alto 800 Lxi,Maruti,2017,280000,"6,200 kms",Petrol
575,BMW 5 Series 530i,BMW,2009,650000,"37,518 kms",Petrol
576,Toyota Etios Liva G,Toyota,2014,160000,"24,652 kms",Petrol
577,Mahindra Jeep MM 550 XDB,Mahindra,2004,424000,383 kms,Diesel
578,Chevrolet Beat LS Diesel,Chevrolet,2016,225000,"95,000 kms",Diesel
579,Chevrolet Cruze LTZ,Chevrolet,2011,350000,"35,000 kms",Diesel
580,Jeep Wrangler Unlimited 4x4 Diesel,Jeep,2015,950000,"3,528 kms",Diesel
581,Maruti Suzuki Ertiga VDi,Maruti,2013,485000,"52,500 kms",Diesel
582,Hyundai Verna VGT CRDi SX ABS,Hyundai,2010,205000,"47,900 kms",Diesel
583,Maruti Suzuki Omni,Maruti,2012,160000,"14,000 kms",Petrol
584,Maruti Suzuki Celerio VDi,Maruti,2018,310000,"37,000 kms",Petrol
585,Tata Zest Quadrajet 1.3,Tata,2017,180000,"90,000 kms",Diesel
586,Mahindra XUV500 W6,Mahindra,2013,549900,"52,800 kms",Diesel
587,Tata Indigo CS eLX BS IV,Tata,2016,150000,"1,04,000 kms",Diesel
588,Hyundai i10 Era,Hyundai,2011,175000,"30,000 kms",Petrol
589,Tata Indigo eCS LX TDI BS III,Tata,2014,95000,"1,95,000 kms",Diesel
590,Tata Indigo LX TDI BS III,Tata,2016,230000,"1,04,000 kms",Diesel
591,Tata Indigo eCS LX CR4 BS IV,Tata,2016,230000,"1,04,000 kms",Diesel
592,Tata Indigo Marina LS,Tata,2004,180000,"70,000 kms",Diesel
593,Commercial Chevrolet Sail Hatchback ca,Commercial,o...,225000,,
594,Hyundai Xcent SX 1.2,Hyundai,2015,400000,"43,000 kms",Diesel
595,Hyundai Eon Magna Plus,Hyundai,2013,185000,"23,000 kms",Petrol
596,Renault Duster 85 PS RxL Diesel,Renault,2015,385000,"51,000 kms",Diesel
597,Maruti Suzuki Alto K10 LXi CNG,Maruti,2009,90000,"62,000 kms",Petrol
598,Tata Nano LX Special Edition,Tata,2010,32000,"48,008 kms",Petrol
599,Commercial Car Ta,Commercial,Zest,371500,,
600,Renault Duster 110 PS RxZ Diesel,Renault,2013,435000,"39,000 kms",Diesel
601,Maruti Suzuki Wagon R AX BSIV,Maruti,2010,225000,"40,000 kms",Petrol
602,Maruti Suzuki Swift,Maruti,2006,189700,"48,247 kms",Petrol
603,Maruti Suzuki Ertiga,Maruti,2012,389700,"39,000 kms",Diesel
604,Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2014,365000,"23,000 kms",Petrol
605,Maruti Suzuki Alto K10 New,Maruti,2017,360000,"9,400 kms",Petrol
606,Hyundai i20 Magna,Hyundai,2010,210000,"50,000 kms",Petrol
607,Hyundai i10 Magna 1.2,Hyundai,2009,170000,"75,000 kms",Petrol
608,tata Indica,tata,sale,130000,,
609,Tata Zest XE 75 PS Diesel,Tata,2017,380000,"70,000 kms",Diesel
610,Mahindra Xylo E8,Mahindra,2009,295000,"64,000 kms",Diesel
611,Toyota Corolla Altis GL Petrol,Toyota,2010,185000,"55,000 kms",Petrol
612,Tata Manza Aqua Quadrajet,Tata,2014,160000,"2,00,000 kms",Diesel
614,Used bt new conditions ta,Used,Zest,255000,,
615,Renault Kwid 1.0,Renault,2018,290000,"2,137 kms",Petrol
616,Sale tata,Sale,ture,100000,,
617,Tata Venture EX 8 STR,Tata,2013,100000,"30,000 kms",Diesel
618,Maruti Suzuki Swift Dzire Tour LXi,Maruti,2014,315000,"44,000 kms",Petrol
620,Skoda Octavia Classic 1.9 TDI MT,Skoda,2006,114990,"65,000 kms",Diesel
621,Maruti Suzuki Omni LPG BS IV,Maruti,2012,120000,"1,60,000 kms",LPG
622,Chevrolet Beat Diesel,Chevrolet,2011,125000,"56,000 kms",Diesel
623,Tata Sumo Gold EX BS IV,Tata,2012,210000,"75,000 kms",Diesel
624,Tata indigo 2017 top model..,Tata,emi,170000,,
625,Hyundai Verna 1.6 CRDI SX,Hyundai,2018,855000,"42,000 kms",Diesel
626,Tata Sumo Gold EX BS IV,Tata,2012,210000,"75,000 kms",Diesel
627,Mahindra Scorpio 2.6 CRDe,Mahindra,2007,260000,"56,000 kms",Diesel
628,Maruti Suzuki Zen LXi BS III,Maruti,2002,95000,"10,544 kms",Petrol
629,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011,255000,"64,000 kms",Petrol
630,Mahindra Scorpio SLX 2.6 Turbo 8 Str,Mahindra,2008,300000,"70,000 kms",Diesel
631,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2014,340000,"25,000 kms",Petrol
632,Hyundai Elite i20 Sportz 1.2,Hyundai,2017,550000,"15,000 kms",Petrol
633,Ford Ikon 1.6 Nxt,Ford,2003,60000,"50,000 kms",Petrol
635,Tata indigo,Tata,car,150000,,
636,Toyota Innova 2.5 V 7 STR,Toyota,2011,750000,"1,47,000 kms",Diesel
637,Nissan Sunny XL,Nissan,2011,230000,"52,000 kms",Petrol
638,Chevrolet Beat LT Diesel,Chevrolet,2012,130000,"90,001 kms",Diesel
639,Maruti Suzuki Alto 800 Lxi,Maruti,2017,270000,"21,000 kms",Petrol
640,Maruti Suzuki Swift VDi BS IV,Maruti,2012,280000,"48,006 kms",Diesel
641,Maruti Suzuki Swift VDi BS IV,Maruti,2012,280000,"48,006 kms",Diesel
642,Maruti Suzuki Swift,Maruti,2012,280000,"48,006 kms",Diesel
643,very good condition tata bolts are av,very,able,200000,,
644,Toyota Innova 2.0 G4,Toyota,2012,600000,"80,000 kms",Diesel
646,Maruti Suzuki Swift VDi ABS,Maruti,2010,190000,"74,000 kms",Diesel
647,Hyundai Elite i20 Asta 1.2,Hyundai,2015,500000,"22,000 kms",Petrol
648,Mahindra XUV500 W10,Mahindra,2016,1065000,"41,000 kms",Diesel
649,Volkswagen Polo Trendline 1.5L D,Volkswagen,2015,350000,"25,000 kms",Diesel
650,Toyota Etios Liva Diesel,Toyota,2012,350000,"85,000 kms",Diesel
651,Mahindra TUV300 T4 Plus,Mahindra,2016,540000,"29,500 kms",Diesel
652,Hyundai Elite i20 Asta 1.2,Hyundai,2015,470000,"30,000 kms",Petrol
653,Hyundai Santro Xing GLS,Hyundai,2014,179000,"57,000 kms",Petrol
654,Maruti Suzuki Zen LXi BS III,Maruti,2003,48000,"60,000 kms",Petrol
655,Maruti Suzuki Ciaz ZXi Plus RS,Maruti,2016,650000,"50,000 kms",Petrol
656,Hyundai Eon Era Plus,Hyundai,2013,190000,"39,700 kms",Petrol
657,Hyundai Elantra 1.8 S,Hyundai,2012,500000,"65,000 kms",Petrol
658,Maruti Suzuki Swift VDi,Maruti,2010,270000,"67,000 kms",Diesel
659,Maruti Suzuki Zen Estilo LXI Green CNG,Maruti,2008,125000,"46,000 kms",Petrol
660,Hyundai Eon Era Plus,Hyundai,2012,188000,"38,000 kms",Petrol
661,Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2016,380000,"27,000 kms",Petrol
662,Hyundai Verna Fluidic New,Hyundai,2011,365000,"43,000 kms",Diesel
663,Ford EcoSport Trend 1.5L Ti VCT,Ford,2014,465000,"47,000 kms",Petrol
664,Hyundai i20 Magna,Hyundai,2011,240000,"42,000 kms",Petrol
665,Chevrolet Beat Diesel,Chevrolet,2016,179999,"19,336 kms",Diesel
666,Tata Indica eV2 LS,Tata,2015,140000,"60,105 kms",Diesel
667,Jaguar XF 2.2 Diesel Luxury,Jaguar,2013,2190000,"29,000 kms",Diesel
668,Audi Q5 2.0 TDI quattro Premium Plus,Audi,2014,2390000,"34,000 kms",Diesel
669,BMW 3 Series 320d Sedan,BMW,2011,1075000,"35,000 kms",Diesel
670,Maruti Suzuki Swift ZXi 1.2 BS IV,Maruti,2015,475000,"22,000 kms",Petrol
